x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
-10.73101398,-166.4477027,57.6346177,5.851483359,6.443050772,773.5353568,-425.5165074,19.54155143,102333.2418,37.51551212,15.48313522,1.177903363,4531.019914,65.32099264,10.85642247,42.31776897,215.727832,9.922942441,194.1510391,-4.580310693,0
-11.35786191,-175.5831956,61.4137415,4.957525488,6.022880046,592.6653695,-154.993322,17.16575573,56410.00878,33.66783185,13.07329812,6.28822458,5745.900235,124.6296102,19.51949818,37.48191672,193.5909548,10.28082344,159.1523264,-4.361565346,0
-19.00819084,-266.3019825,43.22804193,5.173549498,5.569677766,912.741203,-337.0014771,18.36297826,37204.35472,24.19449505,13.06950576,5.241046676,5369.285274,136.5368895,16.82449178,31.76122294,195.8166643,9.604161238,148.6905281,-5.322491026,1
-16.84984662,-228.4587418,45.44042944,6.267129126,4.12544266,834.1094864,-297.0969541,16.37575592,54967.2313,20.57806072,12.80484885,2.316118763,,118.2958339,19.97284393,51.72293243,210.4466775,8.108592018,310.5394474,-5.205344074,0
-11.51874938,-345.8616266,37.47028302,6.178874129,5.527773589,634.2553533,-243.0721256,16.78562993,62397.51981,39.81557202,13.89981657,5.366403552,6161.928292,61.41462563,15.99085293,51.6593229,203.3564243,12.55292192,241.8682494,-4.889071853,1
-9.97836281,-217.9549031,42.19290929,4.715606781,4.608673673,638.9797053,-468.7336099,18.11794996,79225.09789,24.62195987,11.97413165,3.645853824,6607.092724,76.06845378,14.0619879,53.48861805,219.3143337,10.30892888,182.2015154,-5.970472247,0
-14.94630251,-236.6771846,55.82318747,4.285616894,3.808395088,515.1889696,-298.0211308,21.40585723,71282.55562,23.73152507,14.91206416,5.17622736,5582.069065,93.35816942,18.98660847,41.76203118,301.4273223,11.07771754,242.317234,-5.214484157,0
-9.984195255,-328.9712638,40.68812056,4.529686059,6.172023318,935.4574024,-380.4969442,12.86092188,74299.36071,22.10461213,13.04268528,5.342089863,3406.679644,135.7608748,27.90512632,40.5657657,107.4894372,11.48945286,216.7100344,-5.621250644,0
-15.42000705,-240.7824685,57.00974113,5.190641965,4.905632196,556.7125928,-440.6156337,16.36757117,97998.95716,29.00434719,11.40662026,3.680384052,3848.042961,77.94038871,22.55839869,42.57742273,200.6852713,12.33012598,276.9249368,-6.982274974,0
-9.299124258,-363.6422508,22.27614098,5.143505961,6.500019438,707.5762762,-448.0713414,23.19180807,65496.52492,19.76055189,14.439251,3.492896137,3562.16162,124.2975215,19.87441578,22.53039874,272.1372795,11.89573316,105.1246614,-5.780965667,0
-19.79336811,-215.7356764,30.46813252,3.777544341,6.457433007,580.7305436,-296.9693598,15.53311017,55945.15856,40.41167751,11.35883212,4.852325892,5836.589276,123.9568836,14.05345116,32.97485414,188.7619068,9.3728383,279.3535408,-5.02047242,0
-10.16583287,-227.3162672,50.15231558,5.989003365,6.122636522,788.6466553,-429.5020788,,78947.71077,25.37534886,10.83758987,3.541683368,4435.173604,109.9490414,23.34159188,37.53268683,196.7365713,10.93352569,264.0907404,-5.875496297,0
-13.63451028,-328.5389186,42.74730939,4.712256097,3.94083227,785.9583412,-221.9909725,18.06122549,39420.4886,25.47277895,10.57538997,4.39356492,6152.797324,108.5997109,13.85082054,49.4767048,231.8677865,12.61751054,209.2808897,-4.684193956,1
-17.58853573,-227.7295095,44.165508,5.343870188,6.794148578,761.4589691,-306.9211303,14.3432867,64459.36138,52.12208052,15.52948092,2.754224371,5893.232104,136.1376192,7.655295928,42.03443761,240.4853684,9.542179686,343.7866307,-6.827333239,0
-13.04102352,-182.2693773,37.60247898,6.15726426,4.904222158,1322.780766,-338.909113,17.09833411,34050.39758,17.0650583,8.911527107,2.87076116,7098.056271,152.7414498,20.30342005,42.15458974,200.2378379,10.05105144,291.1938703,-5.208389715,0
-19.52351677,-222.8860498,42.09539622,4.619403939,4.785243476,713.5180872,,23.42557223,71975.76616,33.71827908,11.22657944,3.933249247,4411.30199,143.0123132,20.6975076,53.24835182,229.2961727,5.271939715,324.7264881,-2.664437816,0
-9.998619253,-129.1923944,48.21815099,4.550495938,5.384269279,508.6006763,-402.6554271,28.29982197,64161.39744,33.42509891,14.28876491,2.495104326,3978.415182,70.83375918,6.302352501,37.28280241,234.2341238,18.47717383,134.0307197,-5.567604495,0
-10.61762262,-126.2803019,53.1428412,4.50957684,5.034292264,862.8843407,-303.1995904,22.80922822,55863.31813,34.36043049,16.82097411,4.21811449,4096.244014,133.8285344,17.0931766,26.17901269,237.8125934,9.968587974,,-4.573443833,0
-10.77794922,-286.4300426,56.27584543,6.390615469,4.191888226,425.818361,-363.2372498,18.79811432,74193.45112,23.02586612,9.752871618,3.807879998,4799.045375,100.8715987,23.563578,34.64590894,188.0264381,8.67937137,236.5203447,-3.758249958,0
-13.86533196,-479.0277544,61.15438136,4.387102069,4.89954541,1081.077939,-259.4083194,14.58642135,60056.68817,31.13047976,10.82828379,2.686558487,6266.345504,138.8754796,16.19607791,34.89575718,270.5602222,8.184080955,256.8585271,-3.892191626,1
-16.26924553,-245.7954054,37.25648705,5.266406888,5.060721623,854.5833452,-350.6138353,16.92209471,62698.44446,29.83435465,8.551095187,3.703259136,4819.020821,121.9086286,16.53547648,41.59097532,207.5088321,6.194260118,237.369941,,0
-11.3335313,-282.4001294,35.58009232,4.846498502,6.108159202,876.974336,-299.6138854,3.717530531,42466.47206,33.61387921,10.30322385,4.344951719,4743.046766,139.8597601,18.79261312,47.60649402,213.1764427,9.157238425,297.989086,-5.349260373,0
-13.97245352,-158.1206711,48.39708868,6.478185908,5.766682546,860.9851269,-278.4359049,16.49899261,55618.37273,24.00988642,12.27675293,3.137307178,3939.324352,107.1482797,18.65787204,43.83749516,164.8158696,12.95140115,242.9276288,-6.689205954,0
-18.64889417,-164.5440206,5.7118785,3.192640284,4.338755948,612.5251102,-290.2250982,20.55065037,46310.69904,25.3992854,14.19922089,2.34848314,7126.719356,121.309165,5.042767855,26.34572687,126.2768216,11.27462432,244.8679068,-6.165796451,1
-16.60157323,-386.9984087,34.89257918,4.290590544,5.115061348,574.1779707,-302.836846,21.92130431,38134.90175,38.17887013,11.49642707,4.925453771,4957.019407,138.758001,12.57780909,47.63807422,230.4465237,9.466106459,300.3052762,-5.278581528,1
-12.09700431,-182.1241013,22.34633779,6.126983045,6.152307083,1309.382904,-378.1917484,17.71455756,31273.7221,37.04730521,11.19277456,2.572131488,5097.000911,185.601622,14.27944091,49.26090163,159.9557581,9.318928228,239.7304542,-4.751302558,0
